Bandscan
Mario Manuzzi, I-47521 Cesena
12e14/44n08
 

MHz;ITU;Program;Location;Reg;kW;QRB km;QTF;O;Date;RDS;PI;PS;Remarks
105,80;I;R101;Forgaria/Mont di Pratt;ud;31.6;241;14;;07.03.26;;5215 ;__R101__;;
105,90;I;Radio Kiss Kiss;Città di Castello/Monte Arnato;pg;6.3;77;182;;28.04.26;;5225 ;KISSKISS;;
105,90;I;Radio Kiss Kiss;Bettona/Pugliano-Monte Veduta del Lago;pg;31.6;130;171;;25.04.26;;5225 ;KISSKISS;;
105,90;SVN;Radio Ognjisce;Kuk;go;1;253;25;;07.05.26;;932F ;OGNJISCE;;
106,00;I;Virgin Radio;Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (C);fc;10;12;230;;19.08.24;X;5241 ;_VIRGIN_;;
106,10;I;Radio LatteMiele Veneto (Radio Nord Est);Baone/Monte Cero-consorzio;pd;63.1;132;340;;31.05.25;;5355 ;LATMIELE;;
106,10;I;Radio 80;Attimis/Località Porzus 1;ud;6.3;243;20;;08.03.26;;535A 595A;'RADIO80;;
106,20;I;Radio Subasio;Monte Grimano Terme/Monte San Paolo;pu;100;34;153;;19.08.24;X;53FD 52FD;SUBASIO_;;
106,30;;UNID Radio Maria;;;;;;;18.01.25;;;;;
106,40;I;Radio Gamma (Romagna);Roncofreddo/Diolaguardia;fc;2;8;190;;08.12.25;;5843 5543;R_GAMMA_;;
106,40;I;Radio Subasio;Verucchio/Monte Ventoso-sud;rn;25.1;25;143;;21.09.24;;53FD 52FD;SUBASIO_;;
106,40;I;RDS;Ancona/Forte Montagnolo-Via del Golfo;an;25.1;116;121;;23.03.26;;5264 ;*_RDS_*_;;
106,40;I;Radio Pico;Fumane/Monte Pastello-1;vr;79.4;194;326;;08.08.25;;53F2 ;R.PICO__;;
106,40;SVN;Hitradio Center Slovenija;Hrvatini 3/Kastelir;kp;5;201;36;;08.03.26;;9314 9414;_CENTER_;;
106,50;I;Radio Maria;Cesena-Tessello/Monte dei Feriti;fc;200;9;237;;19.08.24;X;51CC ;R.MARIA_;;
106,60;I;Radio 24;Cagli/Località Santa Lucia Alta;pu;1.6;69;151;;30.11.25;;5245 ;RADIO_24;;
106,60;I;Radio Italia SoloMusicaItaliana;Velo Veronese/Monte Stoltz;vr;31.6;186;331;;15.12.24;;5220 ;R_ITALIA;;
106,70;I;Radio 24;Carpegna/Monte Carpegna;pu;5;38;171;;21.09.24;;5245 ;RADIO_24;;
106,70;HRV;HKR-Hrvatski Katolicki Radio;Ucka;ri;80;201;50;;15.12.24;;C204 ;+_HKR_+_;;
106,70;I;Radio Italia SoloMusicaItaliana;Caprino Bergamasco/Valcava Prato della Costa MSP1;bg;794.3;282;311;;15.12.24;;5220 ;R_ITALIA;;
106,80;I;Radio 24;Sestola/Monte Cimone-Pian Cavallaro;mo;400;123;274;;21.09.24;;5245 ;RADIO_24;;
106,80;I;Radio 24;Bassano del Grappa/Frazione Rubbio-Cima Forcella;vi;158.5;190;346;;17.01.26;;5245 ;RADIO_24;;
106,85;I;Radio Maria;Verona/Via Torricelle, 2/C;vr;10;176;327;;18.01.25;;51CC ;R.MARIA_;;
106,90;I;Radio Maria;Ancona/Forte Montagnolo-Via del Golfo;an;1.6;116;121;;18.01.25;;51CC ;R.MARIA_;;
106,90;HRV;Radio Dalmacija;Labinstica 2;st;5;324;100;;20.07.25;;C31E ;DALMATIA;;
107,00;I;R101;Carpegna/Monte Carpegna;pu;63.1;38;171;;19.08.24;X;5215 ;__R101__;;
107,10;I;Radio Gelosa;Bassano del Grappa/Frazione Rubbio-Cima Forcella;vi;501.2;190;346;;15.02.26;;5379 ;_GELOSA_ [title_] [artist];;
107,20;I;Radio Deejay;Castel San Pietro Terme/Monte Grande;bo;40;65;292;;19.08.24;X;5214 ;_DEEJAY_;;
107,20;I;Radio Birikina;Attimis/Località Porzus 1;ud;40;243;20;;08.03.26;;536E ;BIRIKINA;;
107,30;I;Radio 105;Monte Grimano Terme/Monte San Paolo;pu;50.1;34;153;;19.08.24;X;5211 ;__105___;;
107,30;HRV;Otvoreni Radio;elevac;zd;80;282;86;;08.03.26;;C205 ;OTVORENI;;
107,40;I;R101;Attimis/Località Porzus 2;ud;31.6;243;21;;05.03.26;;5215 ;__R101__;;
107,50;I;Radiofreccia;Castel San Pietro Terme/Monte Grande;bo;6.3;65;292;;19.08.24;X;5293 ;FRECCIA_ RADIO___;;
107,50;I;Radio Maria;Cagli/Località La Rocchetta-Monte Petrano;pu;3.2;76;157;;04.01.26;;51CC ;R.MARIA_;;
107,50;I;Radio Wow;Conco/Rubbietto;vi;158.5;190;346;;08.03.26;;5359 5859;#__WoW__;;
107,60;I;Radio Maria;Montescudo-Monte Colombo/Monte Godio;rn;25.1;33;137;;19.08.24;X;51CC ;R.MARIA_;;
107,70;I;m2o;Pesaro/Frazione Novilara-Strada Leccia;pu;1.6;62;120;;08.01.26;;5233 ;_M_DUE_O;;
107,70;I;Radio Subasio;Castel San Pietro Terme/Monte Grande;bo;40;65;292;;19.08.24;X;53FD ;SUBASIO_;;
107,70;I;Radio Gemini;Galzignano Terme/Monte Gallo;pd;12.6;136;342;;08.03.26;;53E1 54E1;*GEMINI*;;
107,80;I;RTL 102.5;Attimis/Località Porzus 1;ud;63.1;243;20;;08.03.26;;5218 ;RTL102.5;;
107,90;I;Radio 60 70 80;Montecopiolo/Monte Villagrande;rn;12.6;34;167;;26.12.24;;50AC ;60'70'80;;
107,90;I;Radio 105;Castel San Pietro Terme/Monte Grande;bo;63;65;292;;19.08.24;X;5211 ;__105___;;
107,90;I;Radio Maria;Caprino Bergamasco/Valcava Prato della Costa MSP1;bg;316.2;282;311;;08.08.25;;51CC ;R.MARIA.;;
