Bandscan
Mario Manuzzi, I-47521 Cesena
12e14/44n08
 

MHz;ITU;Program;Location;Reg;kW;QRB km;QTF;O;Date;RDS;PI;PS;Remarks
90,00;I;Radio Icaro Rubicone-inBlu;Longiano/Via Balignano, 1030-Campanile della chiesa di Budrio;fc;10;9;126;;19.08.24;X;50FE ;RADIO___ ICARO___ RUBICONE;;
90,10;I;Radio 105;Modigliana/Monte Trebbio;fc;40;33;270;;19.08.24;X;5211 ;__105___;;
90,10;SVN;Radio 1 Primorska;Trstelj;go;1;223;30;;07.05.26;;9357 9957;RADIO_1_;;
90,20;I;RAI Radio3;Rimini/Covignano (RAI);rn;3.2;27;117;;23.09.24;;5203 ;*Radio3_;;
90,30;I;RDS;Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (A);fc;31.6;12;230;;19.08.24;X;5264 ;*_RDS_*_;;
90,40;I;Canale Italia;Bassano del Grappa/Frazione Rubbio-Cima Forcella;vi;251.2;190;346;;28.08.25;;5363 ;CANALE__ ITALIA__;;
90,50;I;RAI Radio2;Sant'Agata Feltria/Monte San Silvestro (RAI);rn;0.5;32;183;;03.02.25;;5202 ;*Radio2_;;
90,50;I;Radio Maria;Castel San Pietro Terme/Monte Grande;bo;125.9;65;292;;21.09.24;;51CC ;R.MARIA_;;
90,50;I;RAI Radio2;Frisanco/Val della Griva (RAI);pn;13;234;10;;21.12.25;;5202 ;*Radio2_;;
90,60;I;Radiofreccia;Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (C);fc;2.5;12;230;;19.08.24;X;5293 ;_FRECCIA;;
90,70;HRV;Rovinj FM;Žminj/Jurici-Sv. Juraj;pa;0.5;173;49;;08.08.25;;C48F ;RovinjFM;;
90,70;I;Radiofreccia;Faedis/Pedrosa-Prati della Chiesa B;ud;250;242;22;;28.04.26;;5293 ;FRECCIA_;;
90,80;I;RAI Radio1 Emilia Romagna;Bertinoro/Monte Maggio (RAI);fc;25;9;272;;09.08.24;X;5201 ;*Radio1_;;
90,90;I;Radio Deejay;Peglio/San Donnino-Cà Silvotto;pu;1;53;156;;16.01.26;;5214 ;_DEEJAY_;;
90,90;I;Radio Wow;Valdobbiadene/Monte Barbaria-Località Cima Scarpezza;tv;63.1;201;355;;07.05.26;;5359 5559;#__WoW__;;
91,00;I;Radio Ananas;Mondolfo/Monte Ciappellano-Torre piezometrica;pu;12.6;81;121;;21.12.25;;544B ;*ANANAS*;;
91,00;SVN;Radio Ognjisce;Tinjan;kp;5;202;38;;20.03.25;;932F ;OGNJISCE;;
91,00;I;Radio Radicale;Faedis/Borgo Costalunga;ud;25.1;241;21;;03.06.25;;5210 ;RADIO_*_ RADICALE;;
91,10;I;Radio Gamma (Romagna);Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (C);fc;100;12;230;;19.08.24;X;5843 5543;R_GAMMA_;;
91,10;I;RAI Radio1 Veneto;Belluno/Col Visentin (RAI);bl;25;213;1;;28.08.25;;5201 ;*Radio1_;;
91,20;I;Radio LatteMiele (Emilia Romagna);Ferrara/Via Aranova, 25;fe;20;93;326;;02.02.25;;5355 5755;LATMIELE;;
91,20;I;Radio Kolbe (Rovigo)-inBlu;Monselice/Monte Ricco;pd;1.3;130;342;;15.12.24;;5398 ;KAPPA___;;
91,30;I;Radio Birikina;Bassano del Grappa/Frazione Rubbio-Cima Forcella;vi;251.2;190;346;;21.09.24;;536E 576E;BIRIKINA;;
91,30;HRV;HRT-HR 1;Mirkovica;ka;30;255;58;;14.05.25;;C201 ;HRT-HR_1;;
91,40;I;Radio Deejay;Montescudo-Monte Colombo/Monte Godio;rn;5;33;137;;21.12.25;;5214 ;_DEEJAY_;;
91,40;I;RMC - Radio Monte Carlo;Castel San Pietro Terme/Monte Grande;bo;125.9;65;292;;19.08.24;X;5213 ;__RMC___;;
91,50;I;RAI Radio2;Brisighella/Monte Bicocca (RAI);ra;0.8;37;283;;11.01.25;;5202 ;__RAI___ _RADIO2_;;
91,50;I;RAI GR Parlamento;Pesaro/Frazione Novilara-Strada Leccia;pu;5;62;120;;30.01.25;;5206 ;RAI-GRPR;;
91,50;I;Radio Italia SoloMusicaItaliana;Roncà/Frazione Brenton-Monte Calvarina-Sotto bar Ciclamino-Traliccio 3;vr;50.1;170;334;;21.09.24;;5220 ;R_ITALIA;;
91,60;I;Radio Piterpan;Baone/Monte Cero-consorzio;pd;31.6;132;340;;23.09.24;;5373 ;PiTeRPaN [artist] [title_];;
91,70;I;Radio Bruno;Talamello/Monte Pincio;rn;40;26;177;;05.03.26;;534D ;'R.BRUNO;;
91,70;I;Radio Maria;Ravenna/Via Caorle, 31 Torre B;ra;0.5;31;357;;09.04.25;;51CC ;R.MARIA_;;
91,70;I;RAI Radio2;Bologna/Colle Barbiano (RAI);bo;63.1;80;297;;21.09.24;;5202 ;*Radio2_;;
91,75;I;Radio Piterpan;Roncà/Frazione Brenton-Monte Calvarina-Baita Calvarina;vr;40;171;334;;07.05.26;;5373 ;PiTeRPaN [artist] [title_];;
91,80;I;Skyline Radio & Soul;Senigallia/Monte Solazzi;an;15.8;94;124;;29.01.25;;5581 ;#SKYLINE;;
91,80;SVN;Radio Prvi;Krvavec;lj;100;299;36;;01.02.25;;9201 ;__PRVI__;;
