Bandscan
Mario Manuzzi, I-47521 Cesena
12e14/44n08
 

kHz;ITU;Program;Location;Reg;kW;QRB;QTF;O;Date;Remarks
1 179,00;ROU;SRR Radio Romania Actualitai;Bacau/Galbeni;BC;200;1174;71;;22.12.25;
1 179,00;E;SER Radio Valencia;València/Camino Rec d'Orellana;VAL-V;50;1168;248;;04.10.24;
1 188,00;I;Radio Studio X;Momigno;pt;5;117;261;;30.09.24;// stream
1 197,00;IRN;IRIB Radio Ardabil;Moghan;ard;50;2964;87;;21.12.25;
1 215,00;E;COPE León;León;CAL-LE;10;1448;270;;22.12.25;id
1 215,00;ARS;SBA Radio Jeddah;Hafar al-Batin;shy;50;3463;109;;21.12.25;
1 224,00;E;COPE Huelva;Huelva/Colada de Cantarranas;AND-H;10;1780;251;;04.10.24;
1 242,00;OMA;Radio Sultanate of Oman;As Seeb;msc;200;4743;103;;21.12.25;
1 251,00;HNG;Dankó Radió;Szombathely;Vas;25;483;44;;22.12.25;
1 260,00;E;SER Radio Murcia;Murcia;MUR-MU;1;1308;243;;04.10.24;
1 278,00;UKR;UR1 Pershiy kanal;Pokrovske;OD;100;1483;71;;04.10.24;
1 296,00;E;COPE València;València/Castellar;VAL-V;50;1167;248;;04.10.24;
1 305,00;E;RNE Radio 5 Bilbao;Bilbao/Santo Domingo (RNE5);PVA-BI;10;1220;271;;04.10.24;
1 314,00;ROU;SRR Antena Satelor/Radio Bukarest/Bukaresti Radió;Timioara/Sacalaz;TM;12.5;718;72;;22.12.25;
1 314,00;E;RNE Radio 5 Tarragona;Tarragona/Reus (RNE);CAT-T;25;969;254;;04.10.24;
1 323,00;I;AM Italia;Villa Estense;pd;1;121;340;;04.10.24;voa news
1 332,00;ROU;SRR Radio Romania Actualitai;Galai/Barboi;GL;25;1249;78;;22.12.25;
1 368,00;GRC;Chalastra Radio;Thessaloniki;cmc-tsk;;963;110;;22.12.25;
1 386,00;LTU;Radio Baltic Waves International;Viesintos;Ute;75;1570;31;;04.10.24;russian
1 404,00;ROU;SRR Radio Cluj/Kolozsvari Radió/Radio Sighet;Sighetu Marmaiei/Vadu Izei;MM;50;993;61;;04.10.24;
1 413,00;MDA;Vesti FM;Grigoriopol/Maiac;P-GR;500;1376;69;;04.10.24;// stream
1 422,00;ROU;SRR Radio Romania Actualitai;Ramnicu Valcea/Olaneti;VL;5;962;79;;22.12.25;
1 440,00;I;Regional Radio;Narni;tr;1;182;173;;22.12.25;
1 458,00;G;Lyca Radio Greater London;Brookmans Park/4 wire T aerial;EN-HTS;125;1249;317;;04.10.24;
1 494,00;MDA;Radio Moldova;Edine/oseaua Bucovinei;ED;20;1241;63;;22.12.25;
1 503,00;I;Radio Metropolis;Trieste;ts;1;207;36;;30.09.24;// stream
1 521,00;;UNID in russo? mx cinese?;;;;;;;04.10.24;
1 521,00;E;SER Radio Castellón;Castellón/Ramell;VAL-CS;5;1109;250;;04.10.24;
1 530,00;ROU;SRR Radio Romania Actualitai;Radaui/Mihaileni;SV;7.5;1132;64;;04.10.24;
1 557,00;LTU;Radio Lenta;Kaunas/Sitkknai;Kau;50;1468;30;;04.10.24;// stream
1 566,00;;UNID parlato lingua asiatica?;;;;;;;04.10.24;
1 602,00;E;SER Radio Onteniente;Onteniente=Ontinyent;VAL-V;5;1218;245;;04.10.24;
3 955,00;D;Channel 292;Rohrbach/Waal 93;bay;1;499;354;;22.12.25;
3 975,00;D;Shortwave Gold;Winsen/Aller;nds;1;965;351;;26.01.26;
3 990,00;CHN;Xinjiang GD Weiwueryu Zonghe Guangbo;Ürümqi/Changji NRTA523;XJ;50;5770;62;;22.12.25;
4 800,00;CHN;CNR1 Zhongguo zhi Sheng;Golmud/NRTA916;QH;100;6771;66;;21.12.25;
4 820,00;CHN;Xizang GD Hanyu Guangbo;Lhasa/NRTA602;XZ;50;6938;74;;21.12.25;
4 840,00;;WWCR;;;;;;;15.01.26;
4 905,00;CHN;Xizang RGD;Lhasa/NRTA602;XZ;50;6938;74;;21.12.25;
4 920,00;CHN;Xizang RGD;Lhasa/NRTA602;XZ;50;6938;74;;21.12.25;
5 025,00;CUB;Radio Rebelde;Bauta/Corralillo;ch;100;8618;290;;22.12.25;
5 920,00;USA;WTWW;Lebanon TN;;100;7878;0;;22.12.25;
5 995,00;MLI;ORTM Radio Mali;Bamako/Kati;bam;50;3991;215;;21.12.25;
6 130,00;CHN;Xizang RGD;Lhasa/NRTA602;XZ;50;6938;74;;11.01.26;
7 385,00;CHN;Xizang RGD;Lhasa/NRTA602;XZ;50;6938;74;;11.01.26;
